id,name,edate,ctype,twitter,link,incdate,incnum,cdate,creason,creasonx,ophqcity,ophq,leghqcity,leghq,arbjur,cryptonative,classifier,description,fte,verified,comments
10001,1BTCXE,01/01/2012,Private,@1btcxe,https://1btcxe.com,,,,,A,Panama City,Panama,Panama City,Panama,Panama,Native,"101001001,101011101","Bitcoin Exchange supporting over 30 fiat currencies through partnership with ""Crypto Capital""",,TRUE,
10002,1EX.Trade,08/01/2016,Private,@1extrade,https://1ex.trade/index.php,,,,,,Unidentified,Switzerland,Unidentified,Switzerland,Switzerland,Native,"101001001,101011101",Exchange,,TRUE,
10003,"2014-01-01:""21 Inc."";
2018-04-01:""earn.com""",01/01/2013,Private,@earndotcom,earn.com,01/05/2013,,01/04/2018,Acquired by Coinbase (as earn.com),A,"San Francisco, California",United States,"San Francisco, California",United States,United States,Native,2014-01-01:111301201,"2015-01-01 ""Microtask crypto payment platform""",,TRUE,
10004,247Exchange,01/08/2014,Private,,https://www.247exchange.com/?rId=42128,01/01/2014,IFSC/60/310/IME/14.,,Not clear,R,Unidentified,Unidentified,Belize City,Belize,Belize,Native,2014-01-01:101011100,"2014-01-01 ""Multi-Coin Brokerage Services""",,TRUE,"""hey guys dont use this exchange i have lost 5K here no support no reply"""
10005,37coins,01/12/2013,Private,@37Coins,,27/08/2015,,16/12/2016,Failed to meet market demands and expectations,R,"Sunnyvale, California",United States,"Sunnyvale, California",United States,United States,Native,2013-01-01:121601500,"""Avalon"" Mining Hardware; Cloud Mining",2015-01-01:10,TRUE,
10006,99Bitcoins,01/04/2013,Private,@99BitcoinsHQ,https://99bitcoins.com/,01/01/2013,201843058E,,,,Tel Aviv,Israel,Singapore,Singapore,Singapore,Native,"2013-01-01:111311302;
2018-01-01:111311302,193723801","Bitcoin Education & News, Marketing and advertising services related to cryptocurrenies (2018)",,TRUE,
10007,Abra,01/03/2015,Private,@AbraGlobal,https://www.abra.com,01/01/2014,,,,,"2015-03-01:""Saratoga, California"";
2015-01-01:""Mountain View, California""",United States,"2015-03-01:""Saratoga, California"";
2015-01-01:""Mountain View, California""",United States,United States,Native,"2015-03-01:111311302;
2019-05-29:111311302,101011100","P2P Money Transfer Platform (Remittances) with Bitcoin as back-end (users don't know they're using bitcoins), Mobile App that enables trading equities with crypto.",,TRUE,Parent company: Plutus Technologies Philippines Corporation (Abra International)
10008,Abraxas Market,01/01/2015,Private,@abraxas_market,,01/01/2015,,01/11/2015,"Apparently under heavy DDoS attacks, has not reappeared since.",R,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Native,2015-01-01:101011103,"2015-01-01 ""Online Black Marketplace""",,TRUE,"""Abraxas Marketplace is the biggest and the most reliable darknet/deepweb anonymous marketplace at the moment. There you can buy legal or illegal things like drugs, guns, fake money, etc. and receive them at your home by post. The buying process is completely anonymous cause of using the anonymous Tor Browser and paying by internet currency Bitcoin."""
10009,Acacia Trading,01/07/2014,Private,,https://www.tradeacacia.com/,01/01/2014,C3693159,01/01/2017,Discontinued as a paid service and made open source.,R,"Menlo Park, California",United States,"Menlo Park, California",United States,United States,Native,2014-01-01:101001003,"2014-07-01 ""Bitcoin Trading Bot""",2014-01-01:10,,
10010,Agora,01/01/2013,Private,,,01/01/2013,,01/08/2015,"""Temporarily shut down"", but not opened since",R,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Native,2013-01-01:101011103,"2013-01-01 ""Online Black Marketplace""",,TRUE,
10011,"2014-01-01:""airBitz"";
2017-10-01:""Edge""
",01/10/2014,Private,@edgewallet,https://edge.app/,01/01/2014,,,,,"San Diego, California",United States,"San Diego, California",United States,United States,Native,"2014-01-01:121611601;
2016-03-01:121611601,121611600","2014-10-01 ""Wallet (AirBitz Bitcoin Wallet)"" ; 
2017-10-01 ""Merchant Directory; Security Development Platform ""The Edge""""",,TRUE,
10012,"2015-04-01:""Align Commerce"";
2017-01-01:""Veem""",01/04/2015,Private,@goveem,https://www.veem.com/,01/02/2014,5971319,,,,"San Francisco, California",United States,"Wilmington, Delaware",United States,United States,Native,111311301,"2014-02-01 ""Payment Processor/B2B Cross-Border Payments for SMB""",,TRUE,
10013,Alpha BTC,01/01/2013,Private,@Alphabtc,https://alphabtc.com/,01/11/2013,"10,186326",,,,"Omaha, Nebraska",United States,"Omaha, Nebraska",United States,United States,Native,"193713700, 193713702, 102011200","Consulting Services; Education and Training, Bitcoin ATM provider - largest in the US Midwest",,TRUE,
10014,Alpha Virtual,01/01/2015,,,,01/01/2015,,,,R,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Native,101001000,Multi-Coin Exchange,,TRUE,
10015,AlphaBay,01/12/2014,Private,,,01/09/2014,,01/07/2017,Seized and closed by Multinational Law Enforcement,R,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Native,101011103,Online Black Market,,TRUE,
10016,AlphaPoint,01/01/2013,Private,@AlphaPointLive,https://alphapoint.com/,13/03/2012,4215676,,,,"New York, New York",United States,"New York, New York",United States,United States,Native,183403301,"White Label Exchange Technology Platform Provider (Software) for over 20 bitcoin exchanges; in 2015 partial pivot when offering ""Streamcore"", a permissioned blockchain platform for financial services. Also offers ""Remarketer"", a tool for providing participating exchanges with liquidity. Also offers a way to tokenize illiquid assets.",60,TRUE,
10017,Alydian,01/08/2013,Private,@AlydianCo,,01/01/2013,,01/11/2013,"Declared bankruptcy after only 3 months, lost over $4 million",R,"Portland, Oregon",United States,"Bainbridge Island, Washington",United States,United States,Native,131901703,Cloud Mining,,TRUE,First (and last I believe) company to be started by incubator CoinLab
10018,Andromeda,01/04/2014,Private,,,01/04/2014,,01/11/2014,"Shut down, probably exit scam",R,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Native,101011103,Online Black Market,,TRUE,"Run by admins of ""DarkBay"" after site was shut down"
10019,Andromeda Exchange,01/08/2019,Private,@mergecommit,https://www.andromeda.exchange/,01/07/2018,,,,,Pasig City,Philippines,Pasig City,Philippines,Philippines,Native,183403301,Whitelabel Crypto Exchange Builders.,,TRUE,Subsidiary of Mergecommit.com
10022,Aquifer,01/01/2014,Private,,,01/01/2014,,01/02/2015,Filed for bankruptcy,R,"Sunnyvale, California",United States,"Sunnyvale, California",United States,United States,Native,131901702,Mining Datacenter,,TRUE,
10023,Armory,01/01/2011,Private,@armory,https://www.bitcoinarmory.com/,01/01/2011,W15152689,,,,"Baltimore, Maryland",United States,"Baltimore, Maryland",United States,United States,Native,"121601500,193713700",Wallet; Consultancy (2015?),,TRUE,
10024,ArtaBit,01/01/2013,Private,@artabitcoins,http://www.artabit.com/sell.html,01/01/2013,,01/01/2015,No information since August 2015,R,Jakarta,Indonesia,Jakarta,Indonesia,,Native,"111311302,111301200","Payment Processor; Remittances; ""Pay with bitcoins anywhere"" Facilitator",,TRUE,
10025,Ascribe,01/02/2015,Private,@ascribeIO,,01/08/2014,HRB 160856,14/08/2018,"Closed operations 2017, team went on to found Ocean Protocol",R,Berlin,Germany,Berlin,Germany,Germany,Native,183403300,"Digital Works Registering and Ownership Tracking ""Ownership Layer of the Internet"" (Bitcoin Anchoring)",,TRUE,
10026,ASICMiner,01/02/2013,Private,@ASIC__miner,https://asicminer.co,01/01/2012,,,,,Shenzhen,China,Shenzhen,China,China,Native,"131901700,131901703",Mining Hardware Manufacturer; Cloud Mining,,TRUE,
10027,Athena Bitcoin,01/08/2015,Private,@AthenaBitcoin,https://www.athenabitcoin.com/,01/01/2015,,,,,"Chicago, Illinois",United States,"Chicago, Illinois",United States,United States,Native,102011200,"2015-01-01 ""Pan American Bitcoin ATM Operator""",,TRUE,
10028,Atlantis,01/06/2013,Private,,,01/03/2013,,01/09/2013,"Shut down by administrators for ""security reasons""",R,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Native,101011103,Online Black Market,,TRUE,
10029,Bahtcoin,01/01/2011,Private,,,01/01/2011,,01/01/2014,Likely due to Thai regulation on cryptocurrencies,R,Bangkok,Thailand,Bangkok,Thailand,Thailand,Native,"101001000,101011100","Exchange, Brokerage Services",,TRUE,
10032,Binance,01/07/2017,Private,@Binance,binance.com,01/07/2017,,,,,"2017-07-01:""Hong Kong"";
2017-09-01:""Tokyo"";
2018-03-23:""Valetta""","2017-07-01:""Hong Kong"";
2017-09-01:""Japan"";
2018-03-23:""Malta""","2017-07-01:""Hong Kong"";
2017-09-01:""Tokyo"";
2018-03-23:""Malta""","2017-07-01:""Hong Kong"";
2017-09-01:""Japan"";
2018-03-23:""Malta""",Malta,Native,"2017-07-01:101001000,214604200;
2018-12-11:101001000,214604200,121611601,214304100,152532500,193713702;
2019-07-11:101001000,214604200,121611601,214304100,152532500,193713702,101001001,183403300,173103000","Largest cryptocurrency exchange by true volume (2017), has an IEO platform, Launchpad (2017), acquired trustwallet, a software wallet (2017), opened a research arm, Binance info (2018), an investment arm, Binance Labs, an education arm, Binance academy (2018), a DEX (2019, and lending capability (2019)",,TRUE,
10033,BIPS,01/07/2011,Private,,,01/07/2011,"28,595,867.00",01/05/2014,"Acquired by ""Coinify""",A,Copenhagen,Denmark,Copenhagen,Denmark,Denmark,Native,"111301200,121601500","Payment Processor, Online Wallet",,TRUE,
10034,Bit Innovate,01/08/2012,Private,,,01/01/2012,,24/06/2013,"No activity since end of November 2013, so considered bankrupt",R,Sydney,Australia,Sydney,Australia,Australia,Native,101011100,Bitcoin Brokerage Services; Bitcoin-only Shop (2013),,TRUE,
10035,Bit2Me,01/01/2015,Private,@bit2me,https://bit2me.com/,01/01/2014,"54,835,301.00",,,,"Elche, Alicante",Spain,"Elche, Alicante",Spain,Spain,Native,"101011100,102011200","2014-01-01 ""Brokerage Services; Bitcoin-to-Cash Service via local ATMs""",,TRUE,
10036,Bit4X,01/10/2012,Private,,,01/01/2012,,01/01/2015,"Website isn't working correctly since end of 2015, users claiming it's been a scam",R,Pretoria,South Africa,Pretoria,South Africa,South Africa,Native,101011100,Brokerage services,,TRUE,
10037,Bitaccess,01/01/2014,Private,@bitaccess,https://bitaccess.ca/,01/11/2013,"823,256,235.00",,,,"Ottawa, Ontario",Canada,"Ottawa, Ontario",Canada,Canada,Native,"2014-01-01:102011200;
2017-01-01:102011200,101001000,101001002;
2018-01-01:102011200,101001000,101001002,101011100,121611601,183403300,193703603","Bitcoin ATM Manufacturer, Portfolio Platform (12.2017 Faast), Bitcoin brokerage (2018-02-23 Buy Bitcoin Canada ), Blockchain software suite (2018-01-01 Catena), Enterprise Wallet, KYC, Smart Contracts",,TRUE,"Other subsidiary:DNABC, INC"
10038,Bitalo,01/11/2013,Private,@bitaloag,https://bitalo.de/,01/01/2013,HRB 63772,,,,"Konstanz, Baden Wurtenberg",Germany,"Konstanz, Baden Wurtenberg",Germany,Germany,Native,"2013-01-01:121601500,102011103;
2014-01-01:121601500,102011103,193713702,131901705;
2016-01-01:121601500,102011103,193713702,131901705,101011101","Bitcoin Platform with Multi-Sig Wallet (service doesn't hold users' keys); P2P marketplace; Educational Content (2014); Mining Pool (2014, 2015 not included). Launch of fully-integrated 2.0 platform in January 2016, additionally offering escrow services and a marketplace for user services.",,TRUE,
10040,BitBay,01/02/2014,Private,@BitBay,https://bitbay.net/pl,01/01/2014,C 86244,,,,Katowice,Poland,"2014-02-01:""Katowice"";
2018-01-01:""Valetta""","2014-02-01:""Poland"";
2018-01-01:""Malta""",Malta,Native,"2014-02-01:101001000;
2018-08-02:101001000,214604201;
2018-12-01:101001000,214604201,111301200;
2019-02-01:101001000,214604201,111301200,101011101","Bitcoin & Litecoin Exchange, Stablecoin Issuer, OTC (2019-02-01), Merchant services (2018-12-01) , Crowdfunding STO (2018-08-02)","2016-01-01:15;
2017-01-01:50;
2018-01-01:100",TRUE,
10041,BitBet,01/01/2013,Private,,http://www.bitbet.com/,01/01/2013,,,,,San Jose,Costa Rica,San Jose,Costa Rica,Costa Rica,Native,162822805,Bitcoin Prediction Market/Betting Site,,TRUE,
10042,BitBills,01/05/2011,Private,,http://bitbills.com/,01/01/2011,,15/05/2012,"""No longer in operation""",R,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Native,111301204,Physical bitcoins in plastic card format,,TRUE,
10043,Bitbond,01/07/2013,Private,@Bitbond,https://www.bitbond.com/,01/06/2013,HRB 146980,,,,Berlin,Germany,Berlin,Germany,Germany,Native,173103000,"P2P Lending Platform, specifically offers small business financing",,TRUE,
10047,Bitcoil,01/04/2011,Private,,,01/01/2011,,01/01/2013,"Website says that they need to shut down to get ""legal issues in order"", fraud accusations",R,Unidentified,Israel,Unidentified,Israel,Israel,Native,101011100,Brokerage Services (BTC/Shekel),,TRUE,"Bitcoil is down for maintenance. We are working on building the legal, financial, technical and operational infrastructure required to handle the greatly increased demand."
10048,Bitcoin Blender,01/01/2014,Private,,https://bitcoin-blender.com/,01/01/2014,,,,,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Native,204024100,Bitcoin Tumbler/Mixing Service,,TRUE,"Occasionally scam accusations, but still seems to work."
10050,Bitcoin Brasil,01/04/2011,Private,,,01/01/2011,,01/12/2013,no activity since then,R,Unidentified,Brazil,Unidentified,Brazil,Brazil,Native,101001000,Exchange,,TRUE,
10051,Bitcoin Capital,01/04/2015,Private,@BTC_Capital,http://www.bitcoincapital.io/,01/01/2015,,,,,Unidentified,Unidentified,George Town,Cayman Islands,Cayman Islands,Native,214304100,Investment Fund managed by Max Keiser and Simon Dixon.,,TRUE,
10052,Bitcoin Fog,01/10/2011,Private,@BitcoinFog,https://bitcoinfog.info/,01/01/2011,,,,,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Native,204024100,Bitcoin Tumbler/Mixing Service,,TRUE,"Occasionally scam accusations, but still seems to work"
10053,Bitcoin Foundation,01/12/2012,Foundation,@BTCFoundation,https://bitcoinfoundation.org/,01/12/2012,46-1671796,,,,Washington DC,United States,Washington DC,United States,United States,Native,204014002,Bitcoin Advocacy Group,,TRUE,
10054,Bitcoin Magazine,01/02/2012,Private,@BitcoinMagazine,https://bitcoinmagazine.com,01/01/2012,"5,552,734.00",01/01/2015,"Acquired by ""BTC Media""",A,"Fayetteville, Tennessee",United States,"Wilmington, Delaware",United States,United States,Native,"162812700,162822800","Media/News, Podcast",,TRUE,
10055,Bitcoin Market,17/03/2010,Private,,,,,01/01/2011,"After being blocked by PayPal, probably shut down some months later in the end of 2011 (no sign of activity)",R,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Native,101001000,First Bitcoin Exchange,,TRUE,
10056,Bitcoin Nordic,01/04/2012,Private,,,01/01/2012,"32,222,749.00",01/01/2014,"Acquired by ""Coinify""",A,Copenhagen,Denmark,Copenhagen,Denmark,Denmark,Native,101011100,Brokerage services,,TRUE,
10057,Bitcoin of America,01/12/2015,Private,@btcofamerica,https://www.bitcoinofamerica.org/,01/01/2015,,,,,"Chicago, Illinois",United States,"Chigago, Illinois",United States,United States,Native,101011100,Brokerage Services,,TRUE,
10059,"2014-02-01:""Bitcoin.co.id"";
2018-03-14:""Indodax.com""",01/02/2014,Private,@indodax,https://indodax.com/,01/05/2013,,,,,Jakarta,Indonesia,Jakarta,Indonesia,Indonesia,Native,"101001000,101011100",Brokerage Services; Exchange (2014),,TRUE,
10060,Bitcoin.de,01/08/2011,Private,@bitcoin_de,https://www.bitcoin.de,01/01/2011,HRB 13917,,,,Herford,Germany,"Bad Oeynhausen, Nordrhein Westfalen",Germany,Germany,Native,"2011-08-01:102011103;
2013-01-01:102011103,162812700",Marketplace for Buying and Selling bitcoins; News/Blog (2013),,TRUE,Parent company: Bitcoin Group SE
10061,BitcoinAgile,01/01/2014,Private,@bitcoinagile,http://bitcoinagile.com/default,01/01/2014,,,,,"New York, New York",United States,Unidentified,Unidentified,Unidentified,Native,"152512302,152512301","News and Market Data Aggregator, Twitter sentiment tracker",,TRUE,
10062,BitcoinDeals,01/08/2011,Private,,,01/01/2011,,01/08/2012,"Shut down, founders turned away",R,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Native,111301202,Proxy-Buyer Service with >300'000 articles,,TRUE,
10063,Bitcoinica,01/09/2011,Private,,,01/01/2011,,01/05/2012,"Got hacked twice in 2012 and lost customer funds (roughly 43,000 BTC)",R,Auckland,New Zealand,Auckland,New Zealand,New Zealand,Native,"101001000,101001002","Exchange, Market Maker",,TRUE,"Original parent company: xWaylab Inc. Acquired by Wendon in 2011-10. Then CORE CREDIT LIMITED becomes the main operator
Source: https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=9&cad=rja&uact=8&ved=2ahUKEwisqrXOgsbkAhXNQUEAHcQSDowQFjAIegQICBAC&url=https%3A%2F%2Fbounty.bitcoin.com%2Fimages%2Fuploads%2Fbitcoinicaoverview.doc&usg=AOvVaw0O1Pt47NAq_WxzxzEB-Z9A"
10064,Bitcoinist.net,01/02/2014,Private,@bitcoinist,https://bitcoinist.com/,01/02/2014,"14,461,555.00",,,,Talinn,Estonia,Talinn,Estonia,Estonia,Native,162812700,Media/News,,TRUE,Parent company: News B Holdings OU
10065,Bitcoinity,01/06/2011,Private,@Bitcoinity,https://bitcoinity.org/,01/01/2011,,,,,Krakow,Poland,,Poland,Poland,Native,"152512301,152512302,152512304","Market Data Site, the leading bitcoin price site from around 2013-2015.",,TRUE,
10069,BitcoinWisdom,01/04/2013,Private,,,01/01/2013,,01/01/2015,"Site is still functional in 2016, but not maintained anymore since summer 2015 --> considered ""abandoned project""",R,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Native,152512301,Market Data Site,,,
10070,Bitcorati,01/01/2014,Private,,https://web.archive.org/web/20170224221556/http://bitcorati.com/,01/05/2013,,01/12/2017,Abandoned,R,"Tempe, Arizona",United States,"Tempe, Arizona",United States,United States,Native,"152512300,152522400,162812700",Bitcoin Directory and Rating Platform (until end of 2014); Data and News,,,"Sold in August 2014 to another entrepreneur, still operating"
10071,Bitcurex,01/07/2012,Private,,,01/01/2012,,01/01/2016,"Hacked, lost $1.5MM and shut down in 2016",R,Lodz,Poland,Lodz,Poland,Poland,Native,"101001000,111301204",Exchange; Trading Platform; Prepaid Debit Card,,,
10072,Bitex,01/05/2014,Private,@bitex,https://bitex.la/,01/01/2014,,,,,Buenos Aires,Argentina,Hoofdorp,Netherlands,Netherlands,Native,"2014-05-01:101001000;
2015-01-01:101001000,111311302,111311300,214304100","Exchange; Investment Fund (""Bitkoine"", 2015); Payment Processor and Remittances (2015), Payroll, Custody services",,TRUE,Remittances through partnerships with Western Union and More Money Transfers
10073,Bitfash,01/04/2013,Private,@bitfash,bitfash.com,01/01/2013,,01/11/2014,No information about service since November 2014,R,Melbourne,Australia,Melbourne,Australia,Australia,Native,2013-01-01: 111301202,Middleman Platform to buy fashion items with bitcoin,,,
10074,Bitfarms Ltd,01/10/2017,Public,,https://www.bitfarms.io/,01/06/1981,"729,979,518.00",,Reverse acquisition agreement with Backbone Hosting Solutions Inc in Apr-18,,Quebec,Canada,Toronto,Canada,Canada,Complete pivot,131901704,Mining data centre operator (operated by Backbone since 06/11/2017),,TRUE,"Initially listed on Tel-Aviv Stock Exchange, voluntarily stopped being listed there in 2019, instead listed on the Toronto SE"
10138,Black Market Reloaded,01/01/2011,Private,,,01/01/2011,,01/01/2013,Shut down by administrator (in November),R,Unidentifier,Unidentified,Unidentifier,Unidentified,Unidentified,Native,111301203,Online Black Market,,TRUE,
10139,Bleutrade,01/03/2014,Private,@bleutrade,https://bleutrade.com/,18/10/2018,C 88906,,,,Valletta,Malta,Valletta,"2014-03-01:Brazil;
2018-01-01:Malta",Malta,Native,101001000,Multi-Coin Exchange,,TRUE,
10140,BlinkTrade,01/01/2014,Private,,https://blinktrade.com/,10/11/2014,"4,663,562.00",,,,New York,United States,Delaware,United States,United States,Native,183403300,Open-Source Exchange Technology Platform Provider (Software),2019-08-16:6,TRUE,makes money using a RedHat model and option for infrastructure maintenance
10193,CEX.io,01/01/2013,Private,@cex_io,https://cex.io/,01/01/2013,,,,,Kyiv,Ukraine,London,United Kingdom,,Native,"2013-01-01:131901703;
2014-01-01:101001000;
2016-01-01:101001000,111301200","First Cloud Mining; then pivot towards Exchange and Trading Platform (2014), Wallet and vaul services, Brokerage services, Merchant services","2016-01-01:50;
2017-01-01:90;
2018-01-01:200",TRUE,"Partnership with ""Ghash.io""; customers can mine there and trade/store bitcoins on CEX.io"
10194,Chain,01/01/2014,Private,@chain,https://chain.com/,07/03/2014,C3654340,01/01/2015,Pivot towards enterprise blockchain development platform --> drop of Bitcoin-related activities,P,San Francisco,United States,Delaware,United States,United States,Complete pivot,183403302,"API Platform for Bitcoin Developers (until end of 2015), then pivot towards enterprise blockchain development platform",2019-10-20:50,TRUE,Parent company: Albumatic Inc
10195,Chainalysis,01/01/2014,Private,@chainalysis,https://www.chainalysis.com/,20/04/2015,"5,731,603.00",,,,New York,United States,"Wilmington, Delaware",United States,United States,Native,"152502200,152532500,193703603","Blockchain Intelligence/Compliance, Regular research publication; KYT",2019-08-19:130,TRUE,"Offices also in London, Copenhagen"
10196,Chaincode Labs,01/01/2014,Private,@Chaincodelabs,https://chaincode.com/,06/05/2014,"4,572,985.00",,,,New York,United States,New York,United States,United States,Native,183403302,Research and Contribution to Bitcoin Open-Source Project,2019-08-19:50,TRUE,
10197,ChainPay,01/09/2014,Private,,,30/07/2014,011356V,08/08/2016,Defunct,R,Ramsey,United Kingdom,Ramsey,United Kingdom,Isle of Man,Native,"111301200,111311302",Payment Processor,,TRUE,Parent company:AltXE
10198,ChangeTip,01/12/2013,Private,,,01/01/2013,,18/11/2016,Defunct,R,"San Fransciso, California",United States,Unidentified,Unidentified,Unidentified,Native,"2013-12-01:111321401;
2015-01-01:111321401,101011100;
2015-01-01:111321401,101011100,121611601",Micropayment Platform; Brokerage Services (2015); Wallet (2016) that lets users control their private keys,,TRUE,
10199,Chip Chap,01/01/2015,Private,,,20/10/2015,B12957783,01/09/2018,Seems to be down,R,Les Coves de Vinrom?,Spain,Madrid,Spain,Spain,Native,"101011100,111301202","Bitcoin-to-Cash Service via local bank ATM network, Proxy-buyer",,TRUE,"Unclear when went defunct. Site is down, rumors since May that they are defunct. No social media announcement.
Parent company: Telepay, S.L."
10201,Ciphrex,01/01/2014,Private,@Ciphrex,https://ciphrex.com/,23/04/2014,"5,455,720.00",,,,San Diego,United States,"Wilmington, Delaware",United States,United States,Native,"183403300,121611601","Enterprise-grade Development Platform (""CoinSocket""); Wallet (""mSigna"")",2019-08-22:10,TRUE,
10203,CKPool,01/09/2014,Private,,http://ckpool.org/,01/01/2014,,,,,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Native,131901705,Mining Pool,,TRUE,"open source CREATED BY Con Kolivas and Andrew Smith: DescriptionThe GNU General Public License is a widely-used free software license, which guarantees end users the freedom to run, study, share and modify the software."
10204,CleverCoin,01/10/2013,Private,,,01/10/2013,"59,711,124.00",01/07/2016,"Acquired by ""Kraken""",A,Eindhoven,Netherlands,Einfhoven,Netherlands,Netherlands,Native,101001000,Exchange,,,Office in California
10206,Coin Academy,01/09/2014,Private,,https://coinacademy.net/,09/11/2017,"155,657,563.00",,,,Condado del Rey,Panama,Condado del Rey,Panama,Panama,Native,193713702,Education Basic Bitcoin/Altcoin Course,,TRUE,Subsidiary of CETUS TRADING CORP. https://opencorporates.com/companies/pa/155657563
10207,Coin Brief,01/01/2014,Private,,,01/01/2014,,01/09/2015,"Acquired by"" 99Bitcoins""",A,New York,United States,Unidentified,Unidentified,Unidentified,Native,162812700,Digital currency news,,TRUE,"Doesnt seem to have a business model, only a simple website providing tools, created by Steve Wight."
10208,Coin Center,01/09/2014,Private,@coincenter,https://coincenter.org/,11/07/2014,"5,566,908.00",,,,"Washington, D.C.",United States,Delaware,United States,United States,Native,"204014002,193713702",non-profit research and advocacy center and Education,2019-08-22:3,TRUE,
10209,Coin Fire,01/06/2014,Private,,,01/01/2014,201843058E,01/10/2015,"Acquired by ""99Bitcoins""",A,Tel Aviv,Israel,Singapore,Singapore,Singapore,Native,162812700,News,,,
10210,Coin Loft,01/01/2014,Private,@coinloftau,https://www.coinloft.com.au/,17/10/2012,"82,160,820,315.00",,,,"Richmond, Victoria",Australia,"Richmond, Victoria",Australia,Australia,Native,101011100,Brokerage Services,,TRUE,"Founded in 2012, turned towards bitcoin in 2013. Parent company: Global Internet Ventures Pty Ltd"
10211,Coin Republic,01/01/2013,Private,,https://coinrepublic.com/,19/03/2009,200904860H,01/08/2015,"Acquired by ""meXBT""",A,Singapore,Singapore,Singapore,Singapore,Singapore,Native,"2013-01-01:101011100;
2015-08-01:101011100,102011200;
2016-01-01:162812700",Exchange (Brokerage); BTM (08.2015),,TRUE,"https://coinrepublic.com/rnp-compliance.pdf
Parent company: Rapid Net Profits Pte. Ltd."
10213,Coin Validation,01/01/2013,Private,,http://www.coinvalidation.com/,09/10/2013,"4,470,801.00",,,,New York,United States,New York,United States,United States,Native,193703603,Compliance/Verification --> help Bitcoin businesses with AML/KYC,,TRUE,
10304,Earthport,01/01/2016,public,,https://www.earthport.com/about-us/,01/01/1997,,08/05/2019,Acquired by Visa,A,London,United Kingdom,England and Wales,United Kingdom,,Partial pivot,111311302,Cross-border payment services,2019-01-01:200,,"Regional offices in: New York, Miami, San Francisco and Singapore Partnership with Ripple officially announcedin late 2014, fully materialised in Jan 2016. January2016Earthport launched its DLT Gateway (announced in August 2015), an API to connect its customers (bank) to Ripple’s DLT. First test in April 2016.The Earthport Distributed Ledger Gateway transports the funds through the Ripple protocol to record the transaction and leverage its prefunded accounts to provide instant liquidity and the best FX rate. The beneficiary then receives the amount in near real-time"
10397,MatrixVision,18/11/2013,Private,@MatrixVisionBTC,http://www.matrixvision.eu/,05/11/2014,"9,295,837.00",07/10/2016,Defunct,R,,United Kingdom,,United Kingdom,,Native,"193703603,193703604",Compliance Analytics (AML/KYC) Software for Bitcoin Businesses,,TRUE,
10398,"2013-05-01:""McxNOW"";
2016-05-08:""RAWX""",01/05/2013,Private,@mcxnowexchange,https://mcxnow.com/,01/01/2013,,15/12/2016,"Down for maintenance and rebranding (MtMOX), but hasn't reopened since",R,,Unidentified,,Unidentified,,Native,101001000,Multi-Coin Exchange,,TRUE,"Interestingly enough, during the period between McxNOW and RAWX (end of 2014, all 2015) it was referring to btc-e.com"
10399,"2013-01-19:""MegaBigPower"";
2016-01-01:""Giga Watt""",19/01/2013,Private,,https://megabigpower.com,15/12/2016,604 067 749,19/11/2018,Went bankrupt,R,WA,United States,WA,United States,,Native,"131901703,131901704","Proprietary mining, hosted mining",,TRUE,Was One of the largest mines in North America
10400,Melotic,01/01/2014,Private,@MeloticInc,http://melotic.com/,,,15/05/2015,"Shut down due to ""lack of growth"". But considers reopening again with new product",R,,Hong Kong,,Hong Kong,,Native,101001000,Exchange,,TRUE,
10401,meXBT,01/10/2013,Private,@Mexbt,https://www.mexbt.com/,,,14/08/2016,Defunct,R,,Mexico,,Unidentified,,Native,101001000,Exchange,,TRUE,https://twitter.com/Mexbt/status/764277068553084928/photo/1
10402,Mining ASICS Technologies,01/09/2014,Private,,,01/02/2014,,30/12/2014,Declared bankrupt by Dutch Judge on 30th December 2014,R,,Netherlands,,Netherlands,,Native,131901700,Mining Hardware Manufacturer,,TRUE,
10403,Mining Sweden,01/02/2015,Private,@MiningSweden,http://www.miningsweden.se,,,25/05/2016,Defunct or exit scam,R,,Sweden,,Unidentified,,Native,131901703,Cloud Mining,,TRUE,
10404,MintPal,01/02/2014,Private,@MintPalExchange,https://www.mintpal.com/,01/04/2014,"9,009,856.00",13/05/2015,Forced to close after funds stolen by Moolah/Moopay owner; however since then returning some recovered funds. Was acquired by Moolah in July 2014,R,,United Kingdom,,United Kingdom,,Native,101001000,Multi-Coin Exchange,,TRUE,
